gene,logfoldchange,pval_adj,score
ENSG00000099954,0.023351029,1.0,0.12527278
ENSG00000176463,0.022842072,1.0,0.042243328
ENSG00000178764,0.022601144,1.0,0.15491271
ENSG00000177600,0.021920182,1.0,0.13520017
ENSG00000196562,0.0218263,1.0,0.062893994
ENSG00000073756,0.021152291,1.0,0.0018301469
ENSG00000104432,0.021114377,1.0,0.06819989
ENSG00000236548,0.020926489,1.0,0.012149715
ENSG00000287728,0.02059133,1.0,0.037141215
ENSG00000219545,0.02009868,1.0,0.100758046
ENSG00000115268,0.019452814,1.0,0.11010102
ENSG00000100154,0.018142411,1.0,-0.14180562
ENSG00000152128,0.017097069,1.0,-0.08770864
ENSG00000231574,0.016727468,1.0,0.025341382
ENSG00000117724,0.015595856,1.0,-0.039609607
ENSG00000261645,0.014885795,1.0,-0.008466352
ENSG00000164830,0.014818031,1.0,0.1920424
ENSG00000168229,0.013582447,1.0,0.017217223
ENSG00000087086,0.012861077,1.0,0.2111282
ENSG00000101846,0.012633005,1.0,0.027382996
ENSG00000117154,0.009765651,1.0,0.10290347
ENSG00000112038,0.009760906,1.0,0.012199698
ENSG00000027869,0.008508744,1.0,0.009569823
ENSG00000171914,0.008394747,1.0,0.31443924
ENSG00000196284,0.0074455324,1.0,-0.025245262
ENSG00000242880,0.007418771,1.0,-0.005905684
ENSG00000116824,0.0061933864,1.0,-0.013418514
ENSG00000071242,0.003981594,1.0,0.3423682
ENSG00000257261,0.003648096,1.0,-0.024168704
ENSG00000155307,0.003625719,1.0,0.123707935
ENSG00000162849,0.0024180932,1.0,0.06917263
ENSG00000198034,0.0020998735,1.0,-0.013956793
ENSG00000145431,0.0017494006,1.0,0.051474802
ENSG00000226571,0.0013596673,1.0,0.021169724
ENSG00000176225,0.00051351596,1.0,0.032881126
ENSG00000227486,0.00012400921,1.0,0.019570269
ENSG00000230920,0.0,1.0,0.0
ENSG00000183153,0.0,1.0,0.0
ENSG00000226370,0.0,1.0,0.0
