"pseudotime_L1","pseudotime_L2","disease_group","cluster","Braak","ADNC"
13.5981916026527,12.6124749244893,"AD_Low_Int","2","Braak VI","Intermediate"
3.76408216151666,3.55492526649004,"AD_Low_Int","2","Braak III","Low"
4.14526042737842,3.91435880788708,"AD_High","0","Braak V","High"
2.61866034660637,2.44294963383672,"AD_High","4","Braak V","High"
6.64083842230799,6.05234919566269,"AD_Low_Int","2","Braak III","Low"
8.81573144669311,9.07378512931986,"AD_High","2","Braak V","High"
8.13629913671742,7.82792554339427,"AD_High","2","Braak VI","High"
9.03454843803764,9.4358814109998,"Reference","2","Reference","Reference"
8.80162669884963,9.10888453941627,"Control","2","Braak 0","Not AD"
6.44157982847246,5.9961097948456,"AD_High","2","Braak V","High"
11.998908068038,13.3076499150276,"AD_High","4","Braak VI","High"
11.1971856386801,11.576303549064,"AD_High","2","Braak VI","High"
6.45034309189209,6.28689177620003,"AD_High","2","Braak VI","High"
8.78355626900197,9.07378512931986,"AD_High","2","Braak V","High"
13.7009079161326,11.9279473586832,"AD_High","2","Braak V","High"
15.6909005302839,9.68240493099375,"AD_High","2","Braak VI","High"
6.2791943202209,6.15171237035872,"AD_High","2","Braak VI","High"
14.2682490517669,11.951617137949,"AD_High","2","Braak V","High"
10.2303570376122,10.9705435209421,"AD_High","2","Braak V","High"
5.0815448960134,4.80667892214193,"AD_Low_Int","2","Braak II","Low"
9.30276835224623,9.79035182047513,"AD_Low_Int","2","Braak III","Intermediate"
3.22554513277007,NA,"AD_Low_Int","3","Braak IV","Low"
7.01936385065128,6.9000329675582,"AD_Low_Int","2","Braak IV","Low"
11.1588812174691,4.92362010415166,"AD_Low_Int","2","Braak VI","Intermediate"
7.40225508835454,7.17272039592198,"Control","2","Braak IV","Not AD"
2.55217076950444,2.37876595541921,"AD_High","4","Braak VI","High"
5.08968494149488,4.80888125393943,"AD_High","2","Braak VI","High"
10.7164140550843,5.87514885405607,"AD_High","2","Braak V","High"
7.82096388862173,7.75315870060421,"AD_High","2","Braak V","High"
6.94236595283364,6.24613814240546,"AD_Low_Int","2","Braak II","Low"
8.11579857448582,8.11545675863957,"AD_High","2","Braak V","High"
13.2951679120783,11.8832221050981,"Control","2","Braak 0","Not AD"
9.65551190369108,10.3580614878542,"AD_High","2","Braak V","High"
11.4077781428755,11.716540364545,"AD_Low_Int","2","Braak 0","Low"
12.7766868709016,11.6567809927456,"AD_High","2","Braak V","High"
2.39887456784911,NA,"AD_High","5","Braak V","High"
7.37499047030595,7.22734655407105,"AD_Low_Int","2","Braak IV","Intermediate"
8.2274496268116,8.10982779860399,"AD_Low_Int","2","Braak IV","Low"
9.20132172440679,9.33938313335244,"AD_High","2","Braak V","High"
5.15717953200719,4.94001534225774,"AD_High","2","Braak V","High"
7.76493804254727,7.72379213155416,"Control","2","Braak IV","Not AD"
7.55175081274403,7.51461637724446,"AD_High","2","Braak V","High"
5.33596178622528,5.10664578928318,"AD_High","2","Braak V","High"
4.94009860332009,4.71522237418563,"AD_High","2","Braak V","High"
9.4723414670356,9.9452014486816,"AD_Low_Int","2","Braak IV","Intermediate"
5.15974056578592,4.88752372790578,"AD_High","2","Braak VI","High"
5.82520994474023,5.43016502381107,"Control","2","Braak IV","Not AD"
11.5495765892757,12.0276074634777,"AD_High","2","Braak VI","High"
15.1308527330626,9.9576923224332,"AD_High","2","Braak V","High"
6.9134676398905,6.77957680729331,"Reference","2","Reference","Reference"
13.1874221104154,11.5312155773624,"AD_High","2","Braak V","High"
8.6184492246228,8.74163770131314,"AD_Low_Int","2","Braak V","Intermediate"
11.4140590775897,4.57940045537276,"AD_High","2","Braak V","High"
11.802174562912,13.9968385038262,"AD_High","4","Braak VI","High"
11.5103954814355,11.9913546699992,"AD_High","2","Braak VI","High"
14.5528580605584,10.6364201818498,"AD_Low_Int","2","Braak IV","Low"
6.2411300192799,5.97251894571178,"AD_High","2","Braak V","High"
3.33611493786073,3.09289433792786,"AD_High","2","Braak VI","High"
9.30720175025903,9.94781442534445,"AD_High","2","Braak V","High"
7.01305547911388,6.84270601294189,"AD_Low_Int","2","Braak IV","Intermediate"
13.0106999442501,11.7501755060663,"AD_High","2","Braak VI","High"
6.76339064248404,6.46558921468757,"AD_Low_Int","2","Braak IV","Low"
3.78268460244622,3.5725460169083,"Control","2","Braak IV","Not AD"
9.43150238040566,10.1197538561603,"AD_High","2","Braak V","High"
11.802174562912,14.0616274024873,"AD_High","4","Braak VI","High"
15.28240850661,9.89308698387374,"Reference","2","Reference","Reference"
13.3418168410513,11.7742210477277,"AD_High","2","Braak V","High"
4.88035637451356,4.65181713208942,"AD_Low_Int","2","Braak IV","Low"
11.082809177144,11.5422799750386,"AD_Low_Int","2","Braak II","Low"
10.1079705249483,10.8693706872499,"AD_High","2","Braak V","High"
10.4902024478312,10.6268173559545,"Control","2","Braak IV","Not AD"
4.42685159711784,4.20955880212636,"AD_High","2","Braak V","High"
11.1485676180232,5.10004986703557,"Control","2","Braak V","Not AD"
5.50636067160406,NA,"AD_Low_Int","2","Braak III","Intermediate"
8.95024145641993,9.29111239555288,"AD_Low_Int","2","Braak II","Low"
4.66686520569548,4.43900646754033,"AD_High","2","Braak V","High"
7.01320049718563,6.96677638007,"AD_High","2","Braak V","High"
14.6441772187441,10.5367470808211,"AD_High","2","Braak V","High"
7.87141047424391,7.68470084164936,"AD_Low_Int","2","Braak II","Low"
11.1185678989393,11.3821366088671,"AD_High","2","Braak V","High"
4.31505439527014,4.09069932218412,"AD_High","2","Braak V","High"
9.29383201258131,9.84233127007,"AD_High","2","Braak V","High"
12.8013958581139,11.9074118808814,"AD_High","2","Braak V","High"
5.0913086856721,4.86159784161099,"AD_High","2","Braak V","High"
11.7058320573057,2.75129683447837,"Control","4","Braak IV","Not AD"
6.88174649387612,6.84135274728226,"AD_Low_Int","2","Braak III","Low"
12.0997801994219,14.5235961020532,"AD_High","3","Braak VI","High"
8.95024145641993,9.40333764804921,"AD_High","2","Braak V","High"
7.76493804254727,7.72379213155416,"AD_High","2","Braak V","High"
11.6097118810934,NA,"AD_High","2","Braak VI","High"
6.056972706823,5.72236207720401,"AD_Low_Int","2","Braak V","Intermediate"
4.07410784940229,3.86602654454053,"AD_High","2","Braak V","High"
11.998908068038,12.5948179181043,"Control","2","Braak IV","Not AD"
13.8100683267698,12.039475645207,"AD_High","2","Braak V","High"
13.7095003355525,11.9181174916064,"AD_Low_Int","2","Braak IV","Intermediate"
7.18875966006942,6.79442180462236,"AD_Low_Int","2","Braak II","Low"
14.0932668766564,10.7443207440708,"Control","2","Braak V","Not AD"
8.8359548091329,9.17948561544051,"AD_Low_Int","2","Braak IV","Intermediate"
8.43706990188688,8.45869838436549,"AD_Low_Int","2","Braak II","Low"
13.3687702010657,13.4504842466831,"AD_High","3","Braak V","High"
8.95024145641993,9.40333764804921,"AD_High","2","Braak VI","High"
10.5507010903615,6.02077224311913,"AD_High","2","Braak V","High"
10.9393613811024,11.3500859506193,"AD_High","2","Braak VI","High"
9.03454843803764,9.56717295249858,"AD_High","2","Braak VI","High"
7.05322957617392,6.72723308515291,"AD_High","2","Braak V","High"
7.35841820673199,7.17947195618255,"AD_High","2","Braak V","High"
10.60350488239,11.2707846777471,"AD_High","2","Braak VI","High"
2.2788247789426,2.10080710452298,"AD_High","4","Braak V","High"
6.09825055300773,5.93862388424965,"AD_Low_Int","2","Braak IV","Intermediate"
13.311103452306,12.0865771872916,"AD_High","2","Braak VI","High"
2.3596434331428,2.17546223166914,"AD_Low_Int","4","Braak IV","Low"
3.61750521563356,3.38534489305368,"Control","2","Braak IV","Not AD"
10.4065128300483,10.1027389873711,"AD_Low_Int","2","Braak II","Low"
3.02987315990987,2.8378243455785,"AD_Low_Int","4","Braak III","Low"
7.99819559393709,7.93352740754354,"AD_High","2","Braak V","High"
9.77979746089465,9.94976243241053,"AD_High","2","Braak VI","High"
8.86664896388913,9.15380947532663,"AD_High","2","Braak V","High"
14.6883600615436,11.1038512725561,"AD_Low_Int","2","Braak IV","Low"
11.2971251819154,11.7423004193143,"AD_High","2","Braak V","High"
13.9109090282891,12.8335585504521,"AD_High","2","Braak VI","High"
5.00063608532233,4.76041430150077,"AD_High","2","Braak V","High"
0,NA,"AD_Low_Int","0","Braak III","Intermediate"
6.04942737626851,5.54170126291611,"AD_High","2","Braak V","High"
4.17714102616226,NA,"AD_High","0","Braak V","High"
0,NA,"AD_Low_Int","0","Braak VI","Intermediate"
7.89867836518966,7.4491632212215,"AD_Low_Int","2","Braak IV","Low"
13.3749831117298,11.5841365868879,"AD_Low_Int","2","Braak II","Low"
8.78355626900197,9.07378512931986,"Control","2","Braak IV","Not AD"
9.58216917035719,9.69156544465549,"AD_Low_Int","2","Braak II","Low"
7.03773409300588,6.95991123734844,"Control","2","Braak II","Not AD"
6.66082834067484,6.54043272345028,"AD_High","2","Braak V","High"
7.50687939903232,7.4122174636974,"AD_High","2","Braak V","High"
10.5284418778273,6.58840210332878,"AD_High","2","Braak VI","High"
11.6097118810934,3.62741067122255,"AD_High","4","Braak V","High"
5.19471290260868,NA,"AD_High","2","Braak VI","High"
10.3432208214452,10.6394313840872,"AD_High","2","Braak V","High"
7.11058125572473,7.02032333367339,"AD_High","2","Braak V","High"
10.3133670217064,9.99553770701441,"AD_Low_Int","2","Braak II","Low"
5.71160444297794,5.48898959588078,"AD_High","2","Braak V","High"
3.38332198591688,3.1924178874866,"AD_High","4","Braak V","High"
9.84249800833453,10.5525865518128,"AD_High","2","Braak V","High"
15.6541630181936,10.080897279653,"AD_Low_Int","2","Braak II","Low"
11.4159034196288,11.8495936278318,"AD_Low_Int","2","Braak II","Low"
12.5628826939798,12.0483154418281,"AD_High","2","Braak VI","High"
6.87734749565315,6.73702123309171,"AD_Low_Int","2","Braak IV","Low"
8.78355626900197,9.07378512931986,"Control","2","Braak V","Not AD"
14.4754112318223,11.9020365914833,"AD_High","2","Braak V","High"
8.95024145641993,9.26715044845712,"AD_High","2","Braak V","High"
11.6097118810934,NA,"AD_High","2","Braak V","High"
11.7058320573057,2.30265910353435,"Reference","4","Reference","Reference"
7.97682239642485,7.89816447891228,"AD_High","2","Braak V","High"
9.28701737198422,9.80209907674659,"AD_High","2","Braak V","High"
14.0808224189241,10.6430823956741,"AD_Low_Int","2","Braak IV","Intermediate"
11.6097118810934,3.53943147964319,"AD_Low_Int","4","Braak II","Low"
6.20467708899389,5.99356745565762,"AD_Low_Int","2","Braak IV","Intermediate"
12.11994293121,12.4475637382864,"AD_High","2","Braak V","High"
10.9805563515193,10.6271517822676,"AD_Low_Int","2","Braak III","Low"
7.86021495198981,7.74325562987377,"AD_High","2","Braak V","High"
9.6286604069473,9.66430298615056,"AD_High","2","Braak V","High"
10.5602140421829,10.6434947671239,"AD_High","2","Braak V","High"
8.15337452844912,8.02633489103052,"AD_Low_Int","2","Braak IV","Low"
